timestamp,user,action,department_accessed,file_size_mb,location,device,success,is_anomaly,hour,day_of_week,is_weekend,is_night
2024-01-01 09:00:56,alice.williams,login,HR,0,London,laptop_3,True,False,9,Monday,False,False
2024-01-01 09:01:06,jane.doe,file_access,HR,0,NYC,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:01:09,alice.williams,email_sent,HR,0,London,laptop_3,True,False,9,Monday,False,False
2024-01-01 09:01:37,jane.doe,login,HR,0,San Francisco,laptop_1,True,False,9,Monday,False,False
2024-01-01 09:02:30,john.smith,download,Engineering,70,NYC,laptop_1,True,False,9,Monday,False,False
2024-01-01 09:03:47,bob.johnson,email_sent,Finance,0,NYC,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:07:07,jane.doe,file_access,HR,0,NYC,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:07:21,charlie.brown,email_sent,IT,0,San Francisco,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:09:15,alice.williams,file_access,HR,0,San Francisco,laptop_3,True,False,9,Monday,False,False
2024-01-01 09:09:25,john.smith,download,Engineering,45,San Francisco,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:10:08,alice.williams,file_access,HR,0,NYC,laptop_1,True,False,9,Monday,False,False
2024-01-01 09:13:59,charlie.brown,email_sent,IT,0,NYC,laptop_1,True,False,9,Monday,False,False
2024-01-01 09:14:00,alice.williams,login,HR,0,NYC,laptop_3,True,False,9,Monday,False,False
2024-01-01 09:16:04,charlie.brown,email_sent,IT,0,NYC,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:16:32,charlie.brown,download,IT,39,San Francisco,laptop_3,True,False,9,Monday,False,False
2024-01-01 09:17:57,alice.williams,download,HR,77,NYC,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:18:45,bob.johnson,download,Finance,33,San Francisco,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:23:56,john.smith,login,Engineering,0,NYC,laptop_3,True,False,9,Monday,False,False
2024-01-01 09:24:51,alice.williams,download,HR,52,NYC,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:25:39,john.smith,login,Engineering,0,San Francisco,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:26:04,bob.johnson,file_access,Finance,0,London,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:29:08,bob.johnson,email_sent,Finance,0,NYC,laptop_3,True,False,9,Monday,False,False
2024-01-01 09:29:44,charlie.brown,login,IT,0,NYC,laptop_1,True,False,9,Monday,False,False
2024-01-01 09:30:00,jane.doe,download,HR,9,London,laptop_2,True,False,9,Monday,False,False
2024-01-01 09:33:04,alice.williams,file_access,HR,0,NYC,laptop_3,True,False,9,Monday,False,False
